City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
652,Takoradi,GH,79.95,broken clouds,4.8845,-1.7554,Raybow International Hotel
654,Hami,CN,80.19,clear sky,42.8,93.45,Laoyutang Resort
655,Dawei,MM,78.75,overcast clouds,14.0833,98.2,Hotel Dawei
657,Yaan,NG,83.41,moderate rain,7.3833,8.5667,
659,Borba,BR,81.57,light rain,-4.3878,-59.5939,Hotel da Amazônia
660,Madang,PG,77.68,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
661,Chaozhou,CN,76.86,moderate rain,23.6651,116.6379,Seven Corner View Homestay
662,Isla Mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
664,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
666,Sattahip,TH,87.98,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
669,Lexington,US,75.33,few clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
671,Grafton,US,76.87,clear sky,42.207,-71.6856,The Grafton Inn
673,Augusto Correa,BR,85.24,scattered clouds,-1.0217,-46.635,Fazenda Bacuri
674,Diu,IN,82.45,overcast clouds,20.7141,70.9822,Hotel Relax Inn
675,Cardoso,BR,75.52,overcast clouds,-20.0819,-49.9142,EmilioTur Pescaria
677,Soyo,AO,77.67,clear sky,-6.1349,12.3689,Hotel Mpampa
678,Mahibadhoo,MV,82.87,broken clouds,3.7833,72.9667,Omadhoo Inn
679,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
681,Laguna,US,86.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
682,Koungou,YT,78.51,broken clouds,-12.7336,45.2042,Villa Netibor
