City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Tombouctou,ML,2022-06-11 00:30:36,20.0,-3.0,92.44,10,3,7.47
245,Meulaboh,ID,2022-06-11 00:30:37,4.1363,96.1285,76.62,87,80,5.59
246,Codrington,AU,2022-06-11 00:30:37,-38.2667,141.9667,54.59,64,92,19.69
247,Sinnamary,GF,2022-06-11 00:30:38,5.3833,-52.95,76.03,93,100,10.83
248,Uddevalla,SE,2022-06-11 00:30:38,58.3478,11.9424,58.98,90,4,1.01
249,Price,US,2022-06-11 00:30:38,39.5994,-110.8107,94.26,8,0,19.57
250,Port Blair,IN,2022-06-11 00:30:38,11.6667,92.75,82.69,77,100,15.43
251,Morant Bay,JM,2022-06-11 00:30:39,17.8815,-76.4093,83.82,88,100,7.18
252,Vanimo,PG,2022-06-11 00:30:26,-2.6741,141.3028,85.46,65,12,4.7
253,Chokwe,MZ,2022-06-11 00:30:39,-24.5333,32.9833,57.67,91,0,4.25
254,Kulhudhuffushi,MV,2022-06-11 00:30:40,6.6221,73.07,82.04,78,98,12.1
255,Fortuna,US,2022-06-11 00:30:40,40.5982,-124.1573,75.92,75,0,12.66
256,Krasnoarmeysk,RU,2022-06-11 00:30:40,51.0239,45.6969,60.12,74,23,9.44
257,Bhadasar,IN,2022-06-11 00:30:41,28.2833,74.3167,85.68,42,0,16.93
258,Vegachi,CO,2022-06-11 00:30:41,6.7614,-74.7947,67.21,99,100,3.27
259,Araouane,ML,2022-06-11 00:30:41,18.9048,-3.5265,95.47,9,8,10.49
260,Bandarbeyla,SO,2022-06-11 00:27:00,9.4942,50.8122,80.51,64,51,22.37
261,Klaksvik,FO,2022-06-11 00:30:42,62.2266,-6.589,50.92,98,100,25.81
262,Kloulklubed,PW,2022-06-11 00:30:42,7.0419,134.2556,75.7,77,96,6.22
263,Umm Kaddadah,SD,2022-06-11 00:30:42,13.6017,26.6876,83.16,48,3,8.68
264,Dalbandin,PK,2022-06-11 00:30:42,28.8947,64.4101,86.11,10,10,1.86
265,Pacific Grove,US,2022-06-11 00:30:43,36.6177,-121.9166,86.45,66,0,17.0
266,Souillac,MU,2022-06-11 00:30:43,-20.5167,57.5167,70.18,94,75,9.22
267,Fethiye,TR,2022-06-11 00:30:44,36.6217,29.1164,75.07,67,38,4.56
268,Concepcion,CL,2022-06-11 00:30:01,-36.827,-73.0498,48.0,87,37,3.44
269,Zaraza,VE,2022-06-11 00:30:44,9.3503,-65.3245,77.25,82,96,6.33
270,Saint-Francois,FR,2022-06-11 00:30:44,46.4154,3.9054,55.67,94,0,2.3
271,Salinas,US,2022-06-11 00:30:07,36.6777,-121.6555,102.56,47,0,11.5
272,Shitanjing,CN,2022-06-11 00:30:45,39.2342,106.3439,65.03,21,77,6.04
273,Concepcion Del Uruguay,AR,2022-06-11 00:30:45,-32.4825,-58.2372,42.98,60,0,1.01
274,Paamiut,GL,2022-06-11 00:30:45,61.994,-49.6678,39.36,80,100,4.5
275,Cururupu,BR,2022-06-11 00:30:48,-1.8283,-44.8683,73.45,98,100,2.84
276,Saint-Philippe,RE,2022-06-11 00:30:49,-21.3585,55.7679,67.59,80,78,8.97
277,Norrtalje,SE,2022-06-11 00:30:49,59.758,18.705,59.02,91,0,5.75
278,Porto Santo,PT,2022-06-11 00:30:49,33.072,-16.3415,66.58,77,75,13.8
279,Kununurra,AU,2022-06-11 00:30:50,-15.7667,128.7333,67.98,28,55,10.36
280,Turayf,SA,2022-06-11 00:30:50,31.6725,38.6637,73.65,31,0,6.91
281,Fukue,JP,2022-06-11 00:30:50,32.6881,128.8419,68.36,94,75,11.5
282,Gallup,US,2022-06-11 00:30:51,35.5281,-108.7426,93.96,10,0,10.36
283,Port Lincoln,AU,2022-06-11 00:30:51,-34.7333,135.8667,58.62,68,2,7.4
284,Kimbe,PG,2022-06-11 00:30:51,-5.5502,150.1429,88.41,58,7,2.1
285,Sardarshahr,IN,2022-06-11 00:30:52,28.4333,74.4833,86.72,39,0,17.49
286,Kavaratti,IN,2022-06-11 00:30:52,10.5669,72.642,83.01,75,100,14.81
287,Camargo,MX,2022-06-11 00:30:52,27.6667,-105.1667,91.89,22,69,16.33
288,Jacareacanga,BR,2022-06-11 00:30:53,-6.2222,-57.7528,71.28,99,71,1.92
289,Ilulissat,GL,2022-06-11 00:30:53,69.2167,-51.1,35.62,80,100,9.22
